Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak
Sjølyst 0,1/2/0/0,500000,100,0,500000,1.8,900,Ingen
Vidsjåvegen 10,1/6/0/0,4144000,70,320000,2580800,1.8,4645,Ingen
Granstuen 0,1/7/0/0,0,100,0,0,1.8,0,Ingen
1/8/0/0 0,1/8/0/0,0,100,0,0,1.8,0,Ingen
Lassvebergvegen 8,1/9/0/0,533000,70,320000,53100,1.8,95,Ingen
Lassvebergvegen 27,1/10/0/0,5013000,70,320000,3189100,1.8,5740,Ingen
Hundhammervegen 22,1/15/0/0,5365000,70,640000,3115500,1.8,5607,Ingen
Kongestien 12,1/16/0/0,5549000,70,320000,3564300,1.8,6415,Ingen
Hundhammervegen 19A,1/17/0/0,5707000,70,320000,3674900,1.8,6614,Ingen
Hundhammervegen 17,1/18/0/0,6128000,70,320000,3969600,1.8,7145,Ingen
Hundhammervegen 21,1/20/0/0,6323000,70,320000,4106100,1.8,7390,Ingen
Lassvebergvegen 15,1/24/0/0,8298000,70,640000,5168600,1.8,9303,Ingen
Lassvebergvegen 10,1/25/0/0,0,100,0,0,1.8,0,Ingen
Ole Hoels Veg 2,1/27/0/0,4273000,70,320000,2671100,1.8,4807,Ingen
Malvikvegen 82,1/28/0/0,5480000,70,320000,3516000,1.8,6328,Ingen
Malvikvegen 92,1/32/0/0,9024000,70,640000,5676800,1.8,10218,Ingen
Sakslundvegen 21,1/34/0/0,5617000,70,320000,3611900,1.8,6501,Ingen
Hundhammervegen 34,1/35/0/0,3880000,70,320000,2396000,1.8,4312,Ingen
Kongestien 14,1/39/0/0,4400000,70,640000,2440000,1.8,4392,Ingen
Olav Magnussons Veg 7,1/41/0/0,5249000,70,320000,3354300,1.8,6037,Ingen
Ole Hoels Veg 3,1/42/0/0,6372000,70,320000,4140400,1.8,7452,Ingen
Malvikvegen 88,1/44/0/0,2880000,70,960000,1056000,1.8,1900,Ingen
Malvikvegen 88,1/44/0/0,3184000,100,0,3184000,4.0,12736,Ingen
Lassvebergvegen 19,1/45/0/0,9133000,70,320000,6073100,1.8,10931,Ingen
Lassvebergvegen 17,1/46/0/0,9615000,70,320000,6410500,1.8,11538,Ingen
Lassvebergvegen 25,1/47/0/0,6966000,70,320000,4556200,1.8,8201,Ingen
Ole Hoels Veg 7,1/48/0/0,3064000,70,320000,1824800,1.8,3284,Ingen
Ole Hoels Veg 16,1/50/0/0,4797000,70,320000,3037900,1.8,5468,Ingen
Lassvebergvegen 21,1/51/0/0,5480000,70,320000,3516000,1.8,6328,Ingen
Lassvebergvegen 14,1/54/0/0,4144000,70,320000,2580800,1.8,4645,Ingen
Ole Hoels Veg 12,1/55/0/0,4600000,70,320000,2900000,1.8,5220,Ingen
Ole Hoels Veg 8,1/56/0/0,4989000,70,640000,2852300,1.8,5134,Ingen
Ole Hoels Veg 14,1/57/0/0,5458000,70,320000,3500600,1.8,6301,Ingen
Ole Hoels Veg 10,1/58/0/0,6040000,70,320000,3908000,1.8,7034,Ingen
Ole Hoels Veg 9,1/59/0/0,4893000,70,320000,3105100,1.8,5589,Ingen
Ole Hoels Veg 11,1/60/0/0,0,100,0,0,1.8,0,Ingen
Hundhammervegen 23A,1/61/0/0,5013000,70,640000,2869100,1.8,5164,Ingen
Malvikvegen 90,1/62/0/0,3608000,70,320000,2205600,1.8,3970,Ingen
Lassvebergvegen 16,1/63/0/0,3718000,70,320000,2282600,1.8,4108,Ingen
Saxe Viks Veg 26,1/64/0/0,4500000,70,320000,2830000,1.8,5094,Ingen
Kongestien 8,1/65/0/0,4550000,70,320000,2865000,1.8,5157,Ingen
Grim Saxeviks Veg 1A,1/73/0/1,2519000,70,320000,1443300,1.8,2597,Ingen
Grim Saxeviks Veg 1A,1/73/0/2,2486000,70,320000,1420200,1.8,2556,Ingen
Grim Saxeviks Veg 1A,1/73/0/3,2453000,70,320000,1397100,1.8,2514,Ingen
Grim Saxeviks Veg 1A,1/73/0/4,2584000,70,320000,1488800,1.8,2679,Ingen
Grim Saxeviks Veg 1A,1/73/0/5,2551000,70,320000,1465700,1.8,2638,Ingen
Grim Saxeviks Veg 1A,1/73/0/6,2551000,70,320000,1465700,1.8,2638,Ingen
Grim Saxeviks Veg 1B,1/73/0/7,2551000,70,320000,1465700,1.8,2638,Ingen
Grim Saxeviks Veg 1B,1/73/0/8,2453000,70,320000,1397100,1.8,2514,Ingen
Grim Saxeviks Veg 1B,1/73/0/9,2649000,70,320000,1534300,1.8,2761,Ingen
Grim Saxeviks Veg 1B,1/73/0/10,2286000,70,320000,1280200,1.8,2304,Ingen
Grim Saxeviks Veg 1B,1/73/0/11,2419000,70,320000,1373300,1.8,2471,Ingen
Grim Saxeviks Veg 1B,1/73/0/12,2453000,70,320000,1397100,1.8,2514,Ingen
Grim Saxeviks Veg 1C,1/73/0/13,2584000,70,320000,1488800,1.8,2679,Ingen
Grim Saxeviks Veg 1C,1/73/0/14,2453000,70,320000,1397100,1.8,2514,Ingen
Grim Saxeviks Veg 1C,1/73/0/15,2453000,70,320000,1397100,1.8,2514,Ingen
Grim Saxeviks Veg 1C,1/73/0/16,2617000,70,320000,1511900,1.8,2721,Ingen
Grim Saxeviks Veg 1C,1/73/0/17,2453000,70,320000,1397100,1.8,2514,Ingen
Grim Saxeviks Veg 1C,1/73/0/18,2453000,70,320000,1397100,1.8,2514,Ingen
Grim Saxeviks Veg 1D,1/73/0/19,2453000,70,320000,1397100,1.8,2514,Ingen
Grim Saxeviks Veg 1D,1/73/0/20,2617000,70,320000,1511900,1.8,2721,Ingen
Grim Saxeviks Veg 1D,1/73/0/21,2584000,70,320000,1488800,1.8,2679,Ingen
Grim Saxeviks Veg 1D,1/73/0/22,2519000,70,320000,1443300,1.8,2597,Ingen
Grim Saxeviks Veg 1D,1/73/0/23,2419000,70,320000,1373300,1.8,2471,Ingen
Grim Saxeviks Veg 1D,1/73/0/24,2617000,70,320000,1511900,1.8,2721,Ingen
Grim Saxeviks Veg 3A,1/73/0/25,2551000,70,320000,1465700,1.8,2638,Ingen
Grim Saxeviks Veg 3A,1/73/0/26,2453000,70,320000,1397100,1.8,2514,Ingen
Grim Saxeviks Veg 3A,1/73/0/27,2453000,70,320000,1397100,1.8,2514,Ingen
Grim Saxeviks Veg 3A,1/73/0/28,2714000,70,320000,1579800,1.8,2843,Ingen
Grim Saxeviks Veg 3A,1/73/0/29,2453000,70,320000,1397100,1.8,2514,Ingen
Grim Saxeviks Veg 3A,1/73/0/30,2617000,70,320000,1511900,1.8,2721,Ingen
Grim Saxeviks Veg 3B,1/73/0/31,2584000,70,320000,1488800,1.8,2679,Ingen
Grim Saxeviks Veg 3B,1/73/0/32,2649000,70,320000,1534300,1.8,2761,Ingen
Grim Saxeviks Veg 3B,1/73/0/33,2584000,70,320000,1488800,1.8,2679,Ingen
Grim Saxeviks Veg 3B,1/73/0/34,2453000,70,320000,1397100,1.8,2514,Ingen
Grim Saxeviks Veg 3B,1/73/0/35,2551000,70,320000,1465700,1.8,2638,Ingen
Grim Saxeviks Veg 3B,1/73/0/36,2319000,70,320000,1303300,1.8,2345,Ingen
Grim Saxeviks Veg 3C,1/73/0/37,2551000,70,320000,1465700,1.8,2638,Ingen
Grim Saxeviks Veg 3C,1/73/0/38,2453000,70,320000,1397100,1.8,2514,Ingen
Grim Saxeviks Veg 3C,1/73/0/39,2519000,70,320000,1443300,1.8,2597,Ingen
Grim Saxeviks Veg 3C,1/73/0/40,2453000,70,320000,1397100,1.8,2514,Ingen
Grim Saxeviks Veg 3C,1/73/0/41,2584000,70,320000,1488800,1.8,2679,Ingen
Grim Saxeviks Veg 3C,1/73/0/42,2453000,70,320000,1397100,1.8,2514,Ingen
Grim Saxeviks Veg 3D,1/73/0/43,2319000,70,320000,1303300,1.8,2345,Ingen
Grim Saxeviks Veg 3D,1/73/0/44,2584000,70,320000,1488800,1.8,2679,Ingen
Grim Saxeviks Veg 3D,1/73/0/45,2584000,70,320000,1488800,1.8,2679,Ingen
Grim Saxeviks Veg 3D,1/73/0/46,2453000,70,320000,1397100,1.8,2514,Ingen
Grim Saxeviks Veg 3D,1/73/0/47,2453000,70,320000,1397100,1.8,2514,Ingen
Grim Saxeviks Veg 3D,1/73/0/48,2453000,70,320000,1397100,1.8,2514,Ingen
Kongestien 16,1/74/0/0,3004000,70,320000,1782800,1.8,3209,Ingen
Olav Magnussons Veg 19,1/76/0/0,4450000,70,320000,2795000,1.8,5031,Ingen
Nordlistien 1,1/77/0/0,5707000,70,320000,3674900,1.8,6614,Ingen
Armfeldts Veg 2B,1/78/0/0,5108000,70,640000,2935600,1.8,5284,Ingen
Hundhammervegen 27,1/79/0/0,4525000,70,320000,2847500,1.8,5125,Ingen
Kongestien 3A,1/84/0/0,1329000,70,320000,610300,1.8,1098,Ingen
Livheim Ii 0,1/85/0/0,0,100,0,0,1.8,0,Ingen
