Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak
Sjølyst 0,1/2/0/0,500 000,100%,0 500 000,"1,9‰",950,Ingen,
Vidsjåvegen 10,1/6/0/0,4 035 000,70%,200 000 2 624 500,"1,9‰",4 986,Ingen,
Lassvebergvegen 8,1/9/0/0,533 000,70%,200 000 173 100,"1,9‰",328,Ingen,
Lassvebergvegen 27,1/10/0/0,4 885 000,70%,200 000 3 219 500,"1,9‰",6 117,Ingen,
Hundhammervegen 22,1/15/0/0,5 229 000,70%,400 000 3 260 300,"1,9‰",6 194,Ingen,
Kongestien 12,1/16/0/0,5 409 000,70%,200 000 3 586 300,"1,9‰",6 813,Ingen,
Hundhammervegen 19A,1/17/0/0,5 564 000,70%,200 000 3 694 800,"1,9‰",7 020,Ingen,
Hundhammervegen 17,1/18/0/0,5 975 000,70%,200 000 3 982 500,"1,9‰",7 566,Ingen,
Hundhammervegen 21,1/20/0/0,6 166 000,70%,200 000 4 116 200,"1,9‰",7 820,Ingen,
Lassvebergvegen 15,1/24/0/0,7 992 000,70%,400 000 5 194 400,"1,9‰",9 869,Ingen,
Ole Hoels Veg 2,1/27/0/0,4 161 000,70%,200 000 2 712 700,"1,9‰",5 154,Ingen,
Malvikvegen 82,1/28/0/0,5 342 000,70%,200 000 3 539 400,"1,9‰",6 724,Ingen,
Malvikvegen 92,1/32/0/0,8 694 000,70%,400 000 5 685 800,"1,9‰",10 803,Ingen,
Sakslundvegen 21,1/34/0/0,5 476 000,70%,200 000 3 633 200,"1,9‰",6 903,Ingen,
Hundhammervegen 34,1/35/0/0,3 778 000,70%,200 000 2 444 600,"1,9‰",4 644,Ingen,
Kongestien 14,1/39/0/0,4 286 000,70%,400 000 2 600 200,"1,9‰",4 940,Ingen,
Olav Magnussons Veg 7,1/41/0/0,5 116 000,70%,200 000 3 381 200,"1,9‰",6 424,Ingen,
Ole Hoels Veg 3,1/42/0/0,6 187 000,70%,200 000 4 130 900,"1,9‰",7 848,Ingen,
Malvikvegen 88,1/44/0/0,3 184 000,100%,0 3 184 000,4‰,12 736,Ingen,
Malvikvegen 88,1/44/0/0,2 880 000,70%,600 000 1 416 000,"1,9‰",2 690,Ingen,
Lassvebergvegen 19,1/45/0/0,8 917 000,70%,200 000 6 041 900,"1,9‰",11 479,Ingen,
Lassvebergvegen 17,1/46/0/0,9 334 000,70%,200 000 6 333 800,"1,9‰",12 034,Ingen,
Lassvebergvegen 25,1/47/0/0,6 705 000,70%,200 000 4 493 500,"1,9‰",8 537,Ingen,
Ole Hoels Veg 7,1/48/0/0,2 981 000,70%,200 000 1 886 700,"1,9‰",3 584,Ingen,
Ole Hoels Veg 16,1/50/0/0,4 673 000,70%,200 000 3 071 100,"1,9‰",5 835,Ingen,
Lassvebergvegen 21,1/51/0/0,5 342 000,70%,200 000 3 539 400,"1,9‰",6 724,Ingen,
Lassvebergvegen 14,1/54/0/0,4 035 000,70%,200 000 2 624 500,"1,9‰",4 986,Ingen,
Ole Hoels Veg 12,1/55/0/0,4 481 000,70%,200 000 2 936 700,"1,9‰",5 579,Ingen,
Ole Hoels Veg 8,1/56/0/0,4 862 000,70%,400 000 3 003 400,"1,9‰",5 706,Ingen,
Ole Hoels Veg 14,1/57/0/0,5 320 000,70%,200 000 3 524 000,"1,9‰",6 695,Ingen,
Ole Hoels Veg 10,1/58/0/0,5 890 000,70%,200 000 3 923 000,"1,9‰",7 453,Ingen,
Ole Hoels Veg 9,1/59/0/0,4 768 000,70%,200 000 3 137 600,"1,9‰",5 961,Ingen,
Hundhammervegen 23A,1/61/0/0,4 885 000,70%,400 000 3 019 500,"1,9‰",5 737,Ingen,
Malvikvegen 90,1/62/0/0,3 512 000,70%,200 000 2 258 400,"1,9‰",4 290,Ingen,
