Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak
Sjølyst 0,1/2/0/0,500000,100,0500,000,1.9,950,Ingen
Vidsjåvegen 10,1/6/0/0,4035000,70,2000002624,500,1.9,4986,Ingen
Granstuen 0,1/7/0/0,,,,,,,
,1/8/0/0,,,,,,,
Lassvebergvegen 8,1/9/0/0,533000,70,200000173,100,1.9,328,Ingen
Lassvebergvegen 27,1/10/0/0,4885000,70,2000003219,500,1.9,6117,Ingen
Hundhammervegen 22,1/15/0/0,5229000,70,4000003260,300,1.9,6194,Ingen
Kongestien 12,1/16/0/0,5409000,70,2000003586,300,1.9,6813,Ingen
Hundhammervegen 19A,1/17/0/0,5564000,70,2000003694,800,1.9,7020,Ingen
Hundhammervegen 17,1/18/0/0,5975000,70,2000003982,500,1.9,7566,Ingen
Hundhammervegen 21,1/20/0/0,6166000,70,2000004116,200,1.9,7820,Ingen
Lassvebergvegen 15,1/24/0/0,7992000,70,4000005194,400,1.9,9869,Ingen
Lassvebergvegen 10,1/25/0/0,,,,,,,
Ole Hoels Veg 2,1/27/0/0,4161000,70,2000002712,700,1.9,5154,Ingen
Malvikvegen 82,1/28/0/0,5342000,70,2000003539,400,1.9,6724,Ingen
Malvikvegen 92,1/32/0/0,8694000,70,4000005685,800,1.9,10803,Ingen
Sakslundvegen 21,1/34/0/0,5476000,70,2000003633,200,1.9,6903,Ingen
Hundhammervegen 34,1/35/0/0,3778000,70,2000002444,600,1.9,4644,Ingen
Kongestien 14,1/39/0/0,4286000,70,4000002600,200,1.9,4940,Ingen
Olav Magnussons Veg 7,1/41/0/0,5116000,70,2000003381,200,1.9,6424,Ingen
Ole Hoels Veg 3,1/42/0/0,6187000,70,2000004130,900,1.9,7848,Ingen
Malvikvegen 88,1/44/0/0,3184000,100,03184,000,4,12736,Ingen
Malvikvegen 88,1/44/0/0,2880000,70,6000001416,000,1.9,2690,Ingen
Lassvebergvegen 19,1/45/0/0,8917000,70,2000006041,900,1.9,11479,Ingen
Lassvebergvegen 17,1/46/0/0,9334000,70,2000006333,800,1.9,12034,Ingen
Lassvebergvegen 25,1/47/0/0,6705000,70,2000004493,500,1.9,8537,Ingen
Ole Hoels Veg 7,1/48/0/0,2981000,70,2000001886,700,1.9,3584,Ingen
Ole Hoels Veg 16,1/50/0/0,4673000,70,2000003071,100,1.9,5835,Ingen
Lassvebergvegen 21,1/51/0/0,5342000,70,2000003539,400,1.9,6724,Ingen
Lassvebergvegen 14,1/54/0/0,4035000,70,2000002624,500,1.9,4986,Ingen
Ole Hoels Veg 12,1/55/0/0,4481000,70,2000002936,700,1.9,5579,Ingen
Ole Hoels Veg 8,1/56/0/0,4862000,70,4000003003,400,1.9,5706,Ingen
Ole Hoels Veg 14,1/57/0/0,5320000,70,2000003524,000,1.9,6695,Ingen
Ole Hoels Veg 10,1/58/0/0,5890000,70,2000003923,000,1.9,7453,Ingen
Ole Hoels Veg 9,1/59/0/0,4768000,70,2000003137,600,1.9,5961,Ingen
Ole Hoels Veg 11,1/60/0/0,,,,,,,
Hundhammervegen 23A,1/61/0/0,4885000,70,4000003019,500,1.9,5737,Ingen
Malvikvegen 90,1/62/0/0,3512000,70,2000002258,400,1.9,4290,Ingen
Lassvebergvegen 16,1/63/0/0,3619000,70,2000002333,300,1.9,4433,Ingen
Saxe Viks Veg 26,1/64/0/0,4384000,70,2000002868,800,1.9,5450,Ingen
Kongestien 8,1/65/0/0,4433000,70,2000002903,100,1.9,5515,Ingen
Grim Saxeviks Veg 1A,1/73/0/1,2459000,70,2000001521,300,1.9,2890,Ingen
Grim Saxeviks Veg 1A,1/73/0/2,2427000,70,2000001498,900,1.9,2847,Ingen
Grim Saxeviks Veg 1A,1/73/0/3,2395000,70,2000001476,500,1.9,2805,Ingen
